smiles,canonical_smiles,source_smiles,has_3d,failure_reason,radius_gyration_mean,radius_gyration_min,radius_gyration_max,radius_gyration_std,asphericity_mean,asphericity_min,asphericity_max,asphericity_std,eccentricity_mean,eccentricity_min,eccentricity_max,eccentricity_std,inertial_shape_factor_mean,inertial_shape_factor_min,inertial_shape_factor_max,inertial_shape_factor_std,npr1_mean,npr1_min,npr1_max,npr1_std,npr2_mean,npr2_min,npr2_max,npr2_std,pmi1_mean,pmi1_min,pmi1_max,pmi1_std,pmi2_mean,pmi2_min,pmi2_max,pmi2_std,pmi3_mean,pmi3_min,pmi3_max,pmi3_std,energy_min,energy_mean,energy_max,energy_std,num_confs_success
COc1ccc(C(C)=O)cc1,COc1ccc(C(C)=O)cc1,COc1ccc(C(C)=O)cc1,1.0,,2.630136489868164,2.63008975982666,2.630183219909668,4.673004150390625e-05,0.6230905652046204,0.6211324334144592,0.6250486969947815,0.001958131790161133,0.98911052942276,0.9889732599258423,0.9892477989196777,0.0001372694969177246,0.005637502297759056,0.005595905240625143,0.005679099354892969,4.159705713391304e-05,0.14717164635658264,0.14624908566474915,0.14809420704841614,0.0009225606918334961,0.8591655492782593,0.8582424521446228,0.860088586807251,0.0009230673313140869,152.40890502929688,151.44805908203125,153.36973571777344,0.9608383178710938,889.739501953125,888.8154296875,890.6636352539062,0.924102783203125,1035.585693359375,1035.5487060546875,1035.6226806640625,0.0369873046875,38.440452575683594,38.68588638305664,38.93132019042969,0.24543380737304688,2.0
COc1ccc(C(=O)O)cc1,COc1ccc(C(=O)O)cc1,COc1ccc(C(=O)O)cc1,1.0,,2.6114373207092285,2.6114373207092285,2.6114373207092285,0.0,0.6376323699951172,0.6376323699951172,0.6376323699951172,0.0,0.9900866150856018,0.9900866150856018,0.9900866150856018,0.0,0.0059290374629199505,0.0059290374629199505,0.0059290374629199505,0.0,0.14045800268650055,0.14045800268650055,0.14045800268650055,0.0,0.8627194166183472,0.8627194166183472,0.8627194166183472,0.0,145.50750732421875,145.50750732421875,145.50750732421875,0.0,893.734375,893.734375,893.734375,0.0,1035.9501953125,1035.9501953125,1035.9501953125,0.0,14.885943412780762,14.885943412780762,14.885943412780762,0.0,1.0
C=Cc1ccccc1,C=Cc1ccccc1,C=Cc1ccccc1,1.0,,2.023094654083252,2.023094654083252,2.023094654083252,0.0,0.4705248475074768,0.4705248475074768,0.4705248475074768,0.0,0.9734556078910828,0.9734556078910828,0.9734556078910828,0.0,0.007903585210442543,0.007903585210442543,0.007903585210442543,0.0,0.22887590527534485,0.22887590527534485,0.22887590527534485,0.0,0.7711241245269775,0.7711241245269775,0.7711241245269775,0.0,97.56636047363281,97.56636047363281,97.56636047363281,0.0,328.7186279296875,328.7186279296875,328.7186279296875,0.0,426.2850036621094,426.2850036621094,426.2850036621094,0.0,22.528989791870117,22.528989791870117,22.528989791870117,0.0,1.0
OCc1ccccc1,OCc1ccccc1,OCc1ccccc1,1.0,,1.9968197345733643,1.9968197345733643,1.9968197345733643,0.0,0.40690183639526367,0.40690183639526367,0.40690183639526367,0.0,0.9645928144454956,0.9645928144454956,0.9645928144454956,0.0,0.007590168155729771,0.007590168155729771,0.007590168155729771,0.0,0.26374369859695435,0.26374369859695435,0.26374369859695435,0.0,0.8260743021965027,0.8260743021965027,0.8260743021965027,0.0,108.83477783203125,108.83477783203125,108.83477783203125,0.0,340.88250732421875,340.88250732421875,340.88250732421875,0.0,412.6535949707031,412.6535949707031,412.6535949707031,0.0,18.326473236083984,18.326473236083984,18.326473236083984,0.0,1.0
O=Cc1ccccc1,O=Cc1ccccc1,O=Cc1ccccc1,1.0,,1.9828742742538452,1.9828742742538452,1.9828742742538452,0.0,0.4644736349582672,0.4644736349582672,0.4644736349582672,0.0,0.9725673198699951,0.9725673198699951,0.9725673198699951,0.0,0.007905976846814156,0.007905976846814156,0.007905976846814156,0.0,0.23262159526348114,0.23262159526348114,0.23262159526348114,0.0,0.7673783898353577,0.7673783898353577,0.7673783898353577,0.0,97.06306457519531,97.06306457519531,97.06306457519531,0.0,320.19427490234375,320.19427490234375,320.19427490234375,0.0,417.25732421875,417.25732421875,417.25732421875,0.0,31.143783569335938,31.143783569335938,31.143783569335938,0.0,1.0
SCc1ccccc1,SCc1ccccc1,SCc1ccccc1,1.0,,2.183495283126831,2.183495283126831,2.183495283126831,0.0,0.48241347074508667,0.48241347074508667,0.48241347074508667,0.0,0.9757393002510071,0.9757393002510071,0.9757393002510071,0.0,0.007270739879459143,0.007270739879459143,0.007270739879459143,0.0,0.21893569827079773,0.21893569827079773,0.21893569827079773,0.0,0.8927791118621826,0.8927791118621826,0.8927791118621826,0.0,122.79068756103516,122.79068756103516,122.79068756103516,0.0,500.7176208496094,500.7176208496094,500.7176208496094,0.0,560.8527221679688,560.8527221679688,560.8527221679688,0.0,21.753128051757812,21.753128051757812,21.753128051757812,0.0,1.0
COc1ccccc1,COc1ccccc1,COc1ccccc1,1.0,,1.9766513109207153,1.9766513109207153,1.9766513109207153,0.0,0.45434120297431946,0.45434120297431946,0.45434120297431946,0.0,0.9712147116661072,0.9712147116661072,0.9712147116661072,0.0,0.007676625624299049,0.007676625624299049,0.007676625624299049,0.0,0.23820583522319794,0.23820583522319794,0.23820583522319794,0.0,0.7696160078048706,0.7696160078048706,0.7696160078048706,0.0,100.25446319580078,100.25446319580078,100.25446319580078,0.0,323.9107971191406,323.9107971191406,323.9107971191406,0.0,420.8732604980469,420.8732604980469,420.8732604980469,0.0,20.501136779785156,20.501136779785156,20.501136779785156,0.0,1.0
CSc1ccccc1,CSc1ccccc1,CSc1ccccc1,1.0,,2.0969624519348145,2.0969624519348145,2.0969624519348145,0.0,0.44975414872169495,0.44975414872169495,0.44975414872169495,0.0,0.9714441299438477,0.9714441299438477,0.9714441299438477,0.0,0.0068309553898870945,0.0068309553898870945,0.0068309553898870945,0.0,0.237268328666687,0.237268328666687,0.237268328666687,0.0,0.8487280011177063,0.8487280011177063,0.8487280011177063,0.0,124.2473373413086,124.2473373413086,124.2473373413086,0.0,444.4427795410156,444.4427795410156,444.4427795410156,0.0,523.657470703125,523.657470703125,523.657470703125,0.0,15.413236618041992,15.413236618041992,15.413236618041992,0.0,1.0
CCc1ccccn1,CCc1ccccn1,CCc1ccccn1,1.0,,1.9820926189422607,1.9820926189422607,1.9820927381515503,8.429369557916289e-08,0.39677757024765015,0.3967774212360382,0.3967776894569397,1.3493576034306898e-07,0.9628089666366577,0.9628089666366577,0.9628090262413025,4.214684778958144e-08,0.007636003661900759,0.007636000402271748,0.00763600692152977,3.259629011154175e-09,0.2701830267906189,0.27018293738365173,0.27018311619758606,8.940696716308594e-08,0.8279247283935547,0.8279246091842651,0.8279248476028442,1.1920928955078125e-07,108.42382049560547,108.42378997802734,108.4238510131836,3.0517578125e-05,332.2442626953125,332.24420166015625,332.24432373046875,6.103515625e-05,401.29766845703125,401.2976379394531,401.2976989746094,3.0517578125e-05,15.969058990478516,15.969058990478516,15.969058990478516,0.0,2.0
COc1cccc(C)c1,COc1cccc(C)c1,COc1cccc(C)c1,1.0,,2.166785717010498,2.166785717010498,2.166785717010498,0.0,0.34601637721061707,0.34601637721061707,0.34601637721061707,0.0,0.9480778574943542,0.9480778574943542,0.9480778574943542,0.0,0.003822928760200739,0.003822928760200739,0.003822928760200739,0.0,0.31803831458091736,0.31803831458091736,0.31803831458091736,0.0,0.6934010982513428,0.6934010982513428,0.6934010982513428,0.0,181.3795623779297,181.3795623779297,181.3795623779297,0.0,395.45166015625,395.45166015625,395.45166015625,0.0,570.3072509765625,570.3072509765625,570.3072509765625,0.0,22.64512825012207,22.64512825012207,22.64512825012207,0.0,1.0
CC(C)(O)Cc1ccccc1,CC(C)(O)Cc1ccccc1,CC(C)(O)Cc1ccccc1,1.0,,2.4732062816619873,2.4695637226104736,2.4804911613464355,0.00515113165602088,0.4412030279636383,0.4380991756916046,0.4427552819252014,0.0021947550121694803,0.9697723388671875,0.9693406820297241,0.9699881672859192,0.0003051993844565004,0.004383426625281572,0.004306919407099485,0.004421683959662914,5.409888399299234e-05,0.24400846660137177,0.24315215647220612,0.24572068452835083,0.001210717367939651,0.9117283821105957,0.908249020576477,0.913468062877655,0.0024602380581200123,208.0194091796875,206.58824157714844,210.88134765625,2.0237033367156982,777.228271484375,776.10546875,779.4735717773438,1.5876814126968384,852.48876953125,849.6253662109375,858.2156982421875,4.049507141113281,39.47945022583008,39.48360061645508,39.491905212402344,0.005871336907148361,3.0
OCC1O[C@@H]2O[C@@H]3C(CO)O[C@H](O[C@@H]4C(CO)O[C@H](O[C@@H]5C(CO)O[C@H](O[C@@H]6C(CO)O[C@H](O[C@@H]7C(CO)O[C@H](O[C@H]1C(O)C2O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,OCC1O[C@@H]2O[C@@H]3C(CO)O[C@H](O[C@@H]4C(CO)O[C@H](O[C@@H]5C(CO)O[C@H](O[C@@H]6C(CO)O[C@H](O[C@@H]7C(CO)O[C@H](O[C@H]1C(O)C2O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,OCC1O[C@@H]2O[C@@H]3C(CO)O[C@H](O[C@@H]4C(CO)O[C@H](O[C@@H]5C(CO)O[C@H](O[C@@H]6C(CO)O[C@H](O[C@@H]7C(CO)O[C@H](O[C@H]1C(O)C2O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,1.0,,5.522459030151367,5.459235668182373,5.561831474304199,0.045152515172958374,0.18493793904781342,0.1578284353017807,0.23788437247276306,0.037442389875650406,0.8665164113044739,0.8285998106002808,0.9156911373138428,0.03643517196178436,4.964228719472885e-05,3.728329829755239e-05,6.608512194361538e-05,1.2107701877539512e-05,0.4933086335659027,0.40188276767730713,0.5598413348197937,0.06684547662734985,0.6537356376647949,0.5855696201324463,0.7243271470069885,0.056673482060432434,13654.20703125,10960.517578125,15705.951171875,1989.7830810546875,18050.203125,16427.740234375,19754.517578125,1359.3839111328125,27638.40625,27272.919921875,28054.2890625,320.97723388671875,625.2239990234375,631.8882446289062,639.6566162109375,5.943599224090576,3.0
CCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCC(=O)O,1.0,,4.857358455657959,4.736210823059082,5.024615287780762,0.12217147648334503,0.7879559397697449,0.7086958885192871,0.8340668082237244,0.05629458278417587,0.9967052340507507,0.9939195513725281,0.9982568621635437,0.001974024809896946,0.002419685712084174,0.001698057516478002,0.0028029754757881165,0.0005105981254018843,0.07776472717523575,0.05901942402124405,0.11010856926441193,0.022966865450143814,0.979383647441864,0.9751075506210327,0.9849936962127686,0.0041447714902460575,426.759521484375,351.4100036621094,574.2488403320312,104.29894256591797,5452.16259765625,5085.47509765625,5876.63525390625,325.56402587890625,5566.79443359375,5215.29638671875,6008.52490234375,330.0599670410156,-26.16667366027832,-24.942041397094727,-23.278404235839844,1.2193087339401245,3.0
CCCCCCCC(OC)OC,CCCCCCCC(OC)OC,CCCCCCCC(OC)OC,1.0,,3.551412343978882,3.3514299392700195,3.713083028793335,0.15010897815227509,0.7140139937400818,0.6577491760253906,0.7490689754486084,0.040184736251831055,0.9941024780273438,0.9913468360900879,0.9957504272460938,0.0019609536975622177,0.004096213262528181,0.003715985920280218,0.004292061552405357,0.00026890201843343675,0.10704023391008377,0.09209292382001877,0.13126839697360992,0.017287375405430794,0.9306357502937317,0.9275892972946167,0.934707760810852,0.002995186485350132,228.189697265625,216.58831787109375,249.62132263183594,15.171684265136719,2013.2508544921875,1763.9130859375,2216.2646484375,187.55429077148438,2162.7373046875,1901.6099853515625,2371.07763671875,195.2602081298828,-5.3177809715271,-3.0534350872039795,-0.0808827206492424,2.1958205699920654,3.0
CC1=CCC(C(C)(C)OC(=O)/C=C/c2ccccc2)CC1,CC1=CCC(C(C)(C)OC(=O)/C=C/c2ccccc2)CC1,CC1=CCC(C(C)(C)OC(=O)/C=C/c2ccccc2)CC1,1.0,,4.223972320556641,4.135352611541748,4.333987236022949,0.08249139040708542,0.5871005058288574,0.5525079965591431,0.6141817569732666,0.025732312351465225,0.986243486404419,0.9831637740135193,0.988493025302887,0.002253466984257102,0.001145091257058084,0.0010648497845977545,0.0012494134716689587,7.724787428742275e-05,0.1647532731294632,0.1512664556503296,0.1827266365289688,0.013229576870799065,0.9154190421104431,0.8895208835601807,0.9390594959259033,0.020286960527300835,802.5082397460938,734.4859008789062,837.690185546875,48.10856628417969,4465.75390625,4305.01513671875,4636.396484375,135.46701049804688,4884.0693359375,4584.39013671875,5212.240234375,257.10931396484375,34.48080062866211,36.758018493652344,38.167236328125,1.6253246068954468,3.0
